rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
<p> tag should be placed immediately before the first word, with no space after.;15123;11;15112;0.3;0.9997024399920651;5.331123287907351e-05;0.909090909090909;1.1102230246251565e-16;0.7435897435897436;0.04772459421536771;0.8172463768115943;0.02795599206115751
<p> tag should be preceded with an empty line.;15122;77;15045;0.3;0.9985451659833355;0.00011829482753604722;0.8857142857142858;0.016220774021814027;0.8378862023396894;0.011102283024110144;0.8610768146691573;0.011694261464008343
'}' should be on the same line as the next part of a multi-block statement;15122;62;15060;0.3;0.9991535511175771;9.71891182165145e-05;0.911290322580645;0.01652733994509611;0.8865691592329232;0.025018189700308172;0.8983654953047076;0.010268530210652748
Wrong lexicographical order for import;15123;17;15106;0.3;0.9983865635125305;3.239423054664173e-05;0.23529411764705882;0.0;0.25999999999999995;0.00816496580927726;0.24696969696969698;0.0037113480951260244
Line is longer than 100 characters;15122;393;14729;0.3;0.9925274434598597;0.0002628568564257678;0.8435114503816795;0.007985931209402138;0.8655457043242711;0.0048505270213156735;0.8543689236387676;0.005418762338510519
Missing a Javadoc comment.;15122;19;15103;0.3;0.9992990345192435;8.468620866861302e-05;0.8315789473684211;0.021052631578947344;0.6824137022397891;0.034730697878377334;0.7492575868072182;0.025854078966274938
Abbreviation in name must contain no more than '2' consecutive capital letters;15122;23;15099;0.3;0.9987700039677291;6.743842763647094e-05;0.6695652173913044;0.021299910806810228;0.5840791615791614;0.02242807218059316;0.6235750853532902;0.016602294350642147
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';15122;11;15111;0.3;0.9991270995900013;7.12229176978618e-05;0.49090909090909085;0.04453617714151232;0.41778638028638027;0.033853318797326164;0.4499767237593324;0.02906274281804288
At-clause should have a non-empty description.;15122;105;15017;0.3;0.9996891945509854;4.234310433428397e-05;0.9904761904761905;0.0;0.9656793722471507;0.0057291803416171724;0.9779120026690444;0.0029407168718257226
Whitespace around a symbol is not followed by whitespace;15123;25;15098;0.3;0.9986378364081203;0.00011902400317397187;0.648;0.04995998398718719;0.5781738312772795;0.03209286882068602;0.6108339952069142;0.038800219533366834
'(' is followed by whitespace.;15122;10;15112;0.3;0.9999669355905303;3.3064409469651945e-05;1.0;0.0;0.9545454545454545;0.04545454545454547;0.9761904761904763;0.023809523809523836
